dahiti_id,target_name,continent,country,type,longitude,latitude
1120,"Orinoco, River",South America,Venezuela,River,-64.1887,7.9723
1121,"Orinoco, River",South America,Venezuela,River,-64.9706,7.6967
1122,"Orinoco, River",South America,Venezuela,River,-64.7917,7.6705
1207,"Orinoco, River",South America,Venezuela,River,-66.8491,7.238
1208,"Orinoco, River",South America,Colombia,River,-67.4693,6.1778
1209,"Orinoco, River",South America,Venezuela,River,-67.3596,6.2668
1255,"Orinoco, River",South America,Venezuela,River,-66.2218,7.6314
1256,"Orinoco, River",South America,Venezuela,River,-66.4408,7.5756
1257,"Orinoco, River",South America,Venezuela,River,-65.6485,7.8899
1258,"Orinoco, River",South America,Venezuela,River,-65.5616,7.9028
1259,"Orinoco, River",South America,Venezuela,River,-67.8061,5.0656
1260,"Orinoco, River",South America,Venezuela,River,-67.8373,4.5028
6739,"Orinoco, River",South America,Venezuela,River,-62.1477,8.6946
7823,"Orinoco, River",South America,Venezuela,River,-61.8951,8.5813
9222,"Orinoco, River",South America,Venezuela,River,-64.493,7.866
9223,"Orinoco, River",South America,Venezuela,River,-64.4406,8.0169
9365,"Orinoco, River",South America,Venezuela,River,-67.8339,5.1978
9368,"Orinoco, River",South America,Colombia,River,-67.6092,5.546
9395,"Orinoco, River",South America,Venezuela,River,-61.3804,8.494
9396,"Orinoco, River",South America,Venezuela,River,-61.1984,8.5079
9398,"Orinoco, River",South America,Venezuela,River,-61.4048,8.6081
9400,"Orinoco, River",South America,Venezuela,River,-61.1578,8.69
13271,"Orinoco, River",South America,Venezuela,River,-67.1917,6.433
13272,"Orinoco, River",South America,Venezuela,River,-66.9624,7.1569
13273,"Orinoco, River",South America,Venezuela,River,-66.4951,7.4845
13274,"Orinoco, River",South America,Venezuela,River,-65.9042,7.689
13275,"Orinoco, River",South America,Venezuela,River,-64.6793,7.7414
13276,"Orinoco, River",South America,Venezuela,River,-63.9782,7.9399
13277,"Orinoco, River",South America,Venezuela,River,-63.8258,8.114
13500,"Orinoco, River",South America,Venezuela,River,-66.8185,3.5951
13504,"Orinoco, River",South America,Venezuela,River,-67.5838,4.0143
13505,"Orinoco, River",South America,Venezuela,River,-67.662,4.0196
13506,"Orinoco, River",South America,Colombia,River,-67.8162,5.0295
13507,"Orinoco, River",South America,Venezuela,River,-67.8124,5.3402
13509,"Orinoco, River",South America,Venezuela,River,-67.3153,3.9605
13510,"Orinoco, River",South America,Venezuela,River,-67.5694,4.0062
14284,"Orinoco, River",South America,Venezuela,River,-62.9593,8.306
14478,"Orinoco, River",South America,Venezuela,River,-62.9292,8.285
15030,"Orinoco, River",South America,Venezuela,River,-66.4477,3.0932
15310,"Orinoco, River",South America,Venezuela,River,-64.2836,8.0805
15436,"Orinoco, River",South America,Venezuela,River,-63.4575,8.1683
15677,"Orinoco, River",South America,Venezuela,River,-63.3801,8.2184
15811,"Orinoco, River",South America,Venezuela,River,-62.4442,8.522
16058,"Orinoco, River",South America,Venezuela,River,-62.5116,8.5087
16344,"Orinoco, River",South America,Colombia,River,-67.5384,5.8978
16345,"Orinoco, River",South America,Venezuela,River,-67.1078,3.962
16705,"Orinoco, River",South America,Venezuela,River,-65.9915,3.1441
16708,"Orinoco, River",South America,Venezuela,River,-66.8878,7.1705
16864,"Orinoco, River",South America,Venezuela,River,-67.2052,3.9591
17096,"Orinoco, River",South America,Venezuela,River,-66.0681,7.681
17241,"Orinoco, River",South America,Venezuela,River,-66.4625,3.0978
17492,"Orinoco, River",South America,Venezuela,River,-65.1685,7.8328
17627,"Orinoco, River",South America,Venezuela,River,-64.4345,8.0074
17628,"Orinoco, River",South America,Venezuela,River,-64.4803,7.8031
17630,"Orinoco, River",South America,Venezuela,River,-65.5217,3.1276
19802,"Orinoco, River",South America,Venezuela,River,-66.5688,3.6262
19803,"Orinoco, River",,,River,-61.0465,8.5121
19804,"Orinoco, River",,,River,-61.1097,8.4941
19805,"Orinoco, River",South America,Venezuela,River,-62.0915,8.7018
19806,"Orinoco, River",South America,Venezuela,River,-64.7532,2.3673
23575,"Orinoco, River",South America,Venezuela,River,-61.9547,8.6348
23576,"Orinoco, River",South America,Venezuela,River,-67.8456,5.2839
23577,"Orinoco, River",South America,Colombia,River,-67.8679,5.2659
23578,"Orinoco, River",South America,Venezuela,River,-65.9853,3.139
23579,"Orinoco, River",South America,Venezuela,River,-65.155,2.6695
23580,"Orinoco, River",South America,Venezuela,River,-65.1819,2.5434
23581,"Orinoco, River",South America,Venezuela,River,-64.8977,2.4223
23582,"Orinoco, River",South America,Venezuela,River,-64.4011,2.2879
27203,"Orinoco, River",South America,Venezuela,River,-63.8318,2.1436
18786,"Orinooco, River",South America,Venezuela,River,-65.5232,3.1308
