datetime;wse;wse_u
2018-12-16 14:23:45;111.031;0.048
2019-01-12 14:23:47;110.419;0.006
2019-02-08 14:23:47;110.673;0.002
2019-03-07 14:23:51;109.957;0.003
2019-04-03 14:23:54;110.171;0.015
2019-04-30 14:23:53;111.446;0.004
2019-05-27 14:23:49;113.936;0.001
2019-06-23 14:23:46;113.901;0.002
2019-07-20 14:23:49;113.670;0.001
2019-08-16 14:23:49;114.028;0.001
2019-09-12 14:23:49;112.843;0.000
2019-10-09 14:23:46;111.972;0.002
2019-11-05 14:23:48;111.836;0.010
2019-12-02 14:23:50;111.400;0.002
2019-12-29 14:23:49;111.602;0.002
2020-01-25 14:23:47;110.592;0.004
2020-02-21 14:23:48;110.233;0.006
2020-03-19 14:23:50;110.339;0.003
2020-04-15 14:23:51;110.651;0.002
2020-05-12 14:23:55;112.178;0.002
2020-06-08 14:23:58;112.982;0.005
2020-07-05 14:24:00;114.376;0.016
2020-08-01 14:24:00;113.832;0.003
2020-08-28 14:24:00;113.271;0.007
2020-09-24 14:23:58;112.754;0.005
2020-10-21 14:23:59;111.681;0.003
2020-11-17 14:24:02;112.521;0.009
2020-12-14 14:24:00;112.152;0.004
2021-01-10 14:24:01;112.605;0.006
2021-02-06 14:23:57;111.368;0.001
2021-03-05 14:24:00;110.734;0.003
2021-04-01 14:23:59;111.928;0.006
2021-04-28 14:24:01;112.296;0.001
2021-05-25 14:24:04;113.842;0.003
2021-06-21 14:24:09;115.120;0.002
2021-07-18 14:24:10;114.777;0.001
2021-08-14 14:24:12;114.918;0.001
2021-09-10 14:24:11;114.138;0.002
2021-10-07 14:24:07;112.982;0.021
2021-11-03 14:24:07;113.668;0.005
2021-11-30 14:24:07;112.632;0.003
2021-12-27 14:24:08;112.952;0.011
2022-01-23 14:24:04;111.474;0.009
2022-02-19 14:24:06;111.292;0.000
2022-03-18 14:24:06;113.002;0.008
2022-04-14 14:24:08;112.679;0.008
2022-05-11 14:24:13;113.937;0.006
2022-06-07 14:24:17;115.118;0.003
2022-07-04 14:24:18;115.390;0.003
2022-07-31 14:24:20;115.048;0.005
2022-08-27 14:24:20;113.570;0.007
2022-09-23 14:24:17;113.205;0.002
2022-10-20 14:24:17;112.869;0.005
2022-11-16 14:24:20;113.231;0.002
2022-12-13 14:24:20;113.243;0.002
2023-01-09 14:24:17;112.507;0.016
2023-02-05 14:24:19;111.342;0.002
2023-03-04 14:24:19;111.787;0.000
2023-03-31 14:24:18;111.642;0.003
2023-04-27 14:24:21;112.362;0.005
2023-05-24 14:24:25;113.834;0.002
2023-06-20 14:24:27;113.649;0.004
2023-07-17 14:24:29;114.084;0.001
2023-08-13 14:24:30;113.164;0.011
2023-09-09 14:24:27;111.519;0.005
2023-10-06 14:24:28;111.067;0.005
2023-11-02 14:24:31;110.821;0.001
2023-11-29 14:24:31;111.366;0.001
2023-12-26 14:24:29;110.744;0.011
2024-01-22 14:24:26;110.599;0.006
2024-02-18 14:24:30;109.914;0.001
2024-03-16 14:24:29;109.841;0.008
2024-04-12 14:24:31;110.639;0.008
2024-05-09 14:24:37;111.781;0.008
2024-06-05 14:24:41;115.729;0.008
2024-07-02 14:24:42;113.966;0.006
2024-07-29 14:24:43;114.956;0.013
2024-08-25 14:24:43;113.131;0.001
2024-09-21 14:24:40;112.325;0.003
2024-10-18 14:24:40;111.693;0.002
2024-11-14 14:24:41;111.641;0.007
2024-12-11 14:24:42;111.282;0.000
2025-01-07 14:24:39;112.150;0.018
2025-02-03 14:24:38;111.335;0.012
2025-03-02 14:24:42;111.336;0.000
2025-03-29 14:24:41;111.480;0.001
2025-04-25 14:24:41;113.257;0.008
2025-05-22 14:24:48;114.283;0.008
2025-06-18 14:24:52;114.361;0.002
2025-07-15 14:24:55;114.766;0.005
2025-08-11 14:24:55;113.820;0.005
2025-09-07 14:24:55;113.651;0.017
2025-10-04 14:24:51;112.847;0.011
2025-10-31 14:24:56;112.576;0.002
2025-11-27 14:24:58;112.978;0.003
