ESTACIONES - RÍO ORINOCO PRINCIPAL
==================================================
1120: Orinoco, River
1121: Orinoco, River
1122: Orinoco, River
1207: Orinoco, River
1208: Orinoco, River
1209: Orinoco, River
1255: Orinoco, River
1256: Orinoco, River
1257: Orinoco, River
1258: Orinoco, River
1259: Orinoco, River
1260: Orinoco, River
6739: Orinoco, River
7823: Orinoco, River
9222: Orinoco, River
9223: Orinoco, River
9365: Orinoco, River
9368: Orinoco, River
9395: Orinoco, River
9396: Orinoco, River
9398: Orinoco, River
9400: Orinoco, River
13271: Orinoco, River
13272: Orinoco, River
13273: Orinoco, River
13274: Orinoco, River
13275: Orinoco, River
13276: Orinoco, River
13277: Orinoco, River
13500: Orinoco, River
13504: Orinoco, River
13505: Orinoco, River
13506: Orinoco, River
13507: Orinoco, River
13509: Orinoco, River
13510: Orinoco, River
14284: Orinoco, River
14478: Orinoco, River
15030: Orinoco, River
15310: Orinoco, River
15436: Orinoco, River
15677: Orinoco, River
15811: Orinoco, River
16058: Orinoco, River
16344: Orinoco, River
16345: Orinoco, River
16705: Orinoco, River
16708: Orinoco, River
16864: Orinoco, River
17096: Orinoco, River
17241: Orinoco, River
17492: Orinoco, River
17627: Orinoco, River
17628: Orinoco, River
17630: Orinoco, River
19802: Orinoco, River
19803: Orinoco, River
19804: Orinoco, River
19805: Orinoco, River
19806: Orinoco, River
23575: Orinoco, River
23576: Orinoco, River
23577: Orinoco, River
23578: Orinoco, River
23579: Orinoco, River
23580: Orinoco, River
23581: Orinoco, River
23582: Orinoco, River
27203: Orinoco, River
18786: Orinooco, River
